The Godfather,Crime,Drama,Francis Ford Coppola,1972,175,Paramount Pictures,Marlon Brando,Vito Corleone,Al Pacino,Michael Corleone,James Caan,Sonny Corleone,Richard S. Castellano,Peter Clemenza,Diane Keaton,Kay Adams
The Shawshank Redemption,Drama,Frank Darabont,1994,142,Columbia Pictures,Morgan Freeman,"Ellis Boyd ""Red"" Redding",Tim Robbins,Andy Dufresne,Bob Gunton,Warden Norton,William Sadler,Heywood,Clancy Brown,Captain Hadley
The Dark Knight,Action,Crime,Drama,Christopher Nolan,2008,152,Warner Bros. Pictures,Christian Bale,Bruce Wayne / Batman,Heath Ledger,Joker,Aaron Eckhart,Harvey Dent / Two-Face,Michael Caine,Alfred Pennyworth,Gary Oldman,Jim Gordon,Maggie Gyllenhaal,Rachel Dawes
The Godfather: Part II,Crime,Drama,Francis Ford Coppola,1974,202,Paramount Pictures,Al Pacino,Michael Corleone,Robert De Niro,Vito Corleone,Robert Duvall,Tom Hagen,Diane Keaton,Kay Adams Michelson,John Cazale,Fredo Corleone
12 Angry Men,Drama,Sidney Lumet,1957,96,United Artists,Henry Fonda,Juror 8,Lee J. Cobb,Juror 3,Martin Balsam,Juror 1,John Fiedler,Juror 2,E.G. Marshall,Juror 4,Jack Klugman,Juror 5
Schindler's List,Biography,Drama,History,Steven Spielberg,1993,195,Universal Pictures,Liam Neeson,Oskar Schindler,Ben Kingsley,Itzhak Stern,Ralph Fiennes,Amon Göth,Caroline Goodall,Emilie Schindler,Jonathan Sagall,Polfriede Schindler
The Lord of the Rings: The Return of the King,Action,Adventure,Drama,Peter Jackson,2003,201,New Line Cinema,Elijah Wood,Frodo Baggins,Viggo Mortensen,Aragorn,Ian McKellen,Gandalf,Orlando Bloom,Legolas,John Rhys-Davies,Gimli,Cate Blanchett,Galadriel
Pulp Fiction,Crime,Drama,Quentin Tarantino,1994,154,Miramax Films,John Travolta,Vincent Vega,Samuel L. Jackson,Jules Winnfield,Uma Thurman,Mia Wallace,Harvey Keitel,Winston Wolfe,Tim Roth,Pumpkin/A Ringo,Amanda Plummer,Honey Bunny/Yolanda
The Lord of the Rings: The Fellowship of the Ring,Action,Adventure,Drama,Peter Jackson,2001,178,New Line Cinema,Elijah Wood,Frodo Baggins,Ian McKellen,Gandalf,Viggo Mortensen,Aragorn,Sean Astin,Samwise Gamgee,Orlando Bloom,Legolas,Cate Blanchett,Galadriel
Forrest Gump,Drama,Romance,Robert Zemeckis,1994,,142,Paramount Pictures,Tom Hanks,Forrest Gump,Robin Wright,Jenny Curran,Gary Sinise,Lieutenant Dan Taylor,Sally Field,Mrs. Gump,Haley Joel Osment
Inception,Action,Adventure,Sci-Fi,Christopher Nolan,2010,148,Warner Bros. Pictures,Leonardo DiCaprio,"Dominick ""Dom"" Cobb",Joseph Gordon-Levitt,Arthur,Ellen Page,Ariadne,Tom Hardy,Eames,Ken Watanabe,Saito,Dileep Rao,Yusuf
The Matrix,Action,Sci-Fi,Lana Wachowski,Lilly Wachowski,1999,136,Warner Bros. Pictures,Keanu Reeves,Neo, Laurence Fishburne,Morpheus,Carrie-Anne Moss,Trinity,Hugo Weaving,Agent Smith,Gloria Foster,Oracle
The Silence of the Lambs,Crime,Drama,Thriller,Jonathan Demme,1991,118,Orion Pictures,Jodie Foster,Clarice Starling,Anthony Hopkins,Dr. Hannibal Lecter,Scott Glenn,Jack Crawford,Ted Levine,Jame Gumb/Buffalo Bill,Anthony Heald,Dr. Frederick Chilton
Saving Private Ryan,Drama,War,Steven Spielberg,1998,169,Paramount Pictures,Tom Hanks,Captain John H. Miller,Edward Burns,Private Richard Reiben,Matt Damon,Private James Francis Ryan,Tom Sizemore,Sergeant Mike Horvath,Jeremy Davies,Cpl. Timothy E. Upham
The Green Mile,Crime,Drama,Fantasy,Frank Darabont,1999,189,Warner Bros. Pictures,Tom Hanks,Paul Edgecomb,Michael Clarke Duncan,John Coffey,David Morse,"Brutus ""Brutal"" Howell",Bonnie Hunt,Jan Edgecomb,James Cromwell,Warden Hal Moores
The Lion King,Animation,Adventure,Drama,Rob Minkoff,Roger Allers,1994,88,Walt Disney Pictures,Matthew Broderick,Simba,James Earl Jones,Mufasa,Jeremy Irons,Scar,Moira Kelly,Nala,Nathan Lane,Timon,Ernie Sabella,Pumbaa
Gladiator,Action,Adventure,Drama,Ridley Scott,2000,155,DreamWorks,Russell Crowe,Maximus,Joquin Phoenix,Commodus,Connie Nielsen,Lucilla,Oliver Reed,Proximo,Richard Harris,Marcus Aurelius
Terminator 2: Judgment Day,Action,Sci-Fi,James Cameron,1991,137,Carolco Pictures,Arnold Schwarzenegger,T-800/Model 101,Linda Hamilton,Sarah Connor,Edward Furlong,John Connor,Robert Patrick,T-1000,Earl Boen,Dr. Silberman
The Departed,Crime,Drama,Thriller,Martin Scorsese,2006,151,Warner Bros. Pictures,Leonardo DiCaprio,Billy Costigan,Matt Damon,Colin Sullivan,Jack Nicholson,Frank Costello,Mark Wahlberg,Dignam,Martin Sheen,Captain Queenan,Ray Winstone,Mr. French
Мстители,Fantasy,asda,2022,180,Marvel
